," PDSI (gridMET Drought) at -93.7566E,41.5677N, 2022-01-01 to 2025-12-01"
"2024-05-09",-3.69
"2024-05-14",-3.54
"2024-05-19",-3.41
"2024-05-24",-3.2
"2024-05-29",-3.07
"2024-06-03",-3.01
"2024-06-08",-2.99
"2024-06-13",-3
"2024-06-18",-3
"2024-06-23",-3.04
"2024-06-28",-3.03
"2024-07-03",-2.96
"2024-07-08",-2.86
"2024-07-13",-2.73
"2024-07-18",-2.63
"2024-07-23",-2.53
"2024-07-28",-2.46
"2024-08-02",-2.31
"2024-08-07",-2.2
"2024-08-12",-2.07
"2024-08-17",-1.9
"2024-08-22",-1.75
"2024-08-27",-1.69
"2024-09-01",-1.72
"2024-09-06",-1.75
"2024-09-11",-1.79
"2024-09-16",-1.88
"2024-09-21",-1.93
"2024-09-26",-2
"2024-10-01",-2.18
"2024-10-06",-2.37
"2024-10-11",-2.53
"2024-10-16",-2.67
"2024-10-21",-2.82
"2024-10-26",-2.99
"2024-10-31",-3.07
"2024-11-05",-3.02
"2024-11-10",-2.93
"2024-11-15",-2.8
"2024-11-20",-2.6
"2024-11-25",-2.39
"2024-11-30",-2.3
"2024-12-05",-2.32
"2024-12-10",-2.35
"2024-12-15",-2.39
"2024-12-20",-2.47
"2024-12-25",-2.54
"2024-12-30",-2.52
"2025-01-05",-2.47
"2025-01-10",-2.42
"2025-01-15",-2.35
"2025-01-20",-2.29
"2025-01-25",-2.22
"2025-01-30",-2.29
"2025-02-04",-2.36
"2025-02-09",-2.45
"2025-02-14",-2.52
"2025-02-19",-2.56
"2025-02-24",-2.62
"2025-03-01",-2.7
"2025-03-06",-2.61
"2025-03-11",-2.56
"2025-03-16",-2.54
"2025-03-21",-2.54
"2025-03-26",-2.53
"2025-03-31",-2.52
"2025-04-05",-2.56
"2025-04-10",-2.63
"2025-04-15",-2.74
"2025-04-20",-2.76
"2025-04-25",-2.75
"2025-04-30",-2.77
"2025-05-05",-2.85
"2025-05-10",-2.93
"2025-05-15",-3
"2025-05-20",-2.92
"2025-05-25",-2.89
"2025-05-30",-2.83
"2025-06-04",-2.78
"2025-06-09",-2.74
"2025-06-14",-2.7
"2025-06-19",-2.76
"2025-06-24",-2.7
"2025-06-29",-2.63
"2025-07-04",-2.6
"2025-07-09",-2.48
"2025-07-14",-2.26
"2025-07-19",-1.95
"2025-07-24",-1.72
"2025-07-29",-1.44
"2025-08-03",-1.16
"2025-08-08",-0.86
"2025-08-13",-0.61
"2025-08-18",1.77
"2025-08-23",1.8
"2025-08-28",1.74
"2025-09-02",1.67
"2025-09-07",1.53
"2025-09-12",1.4
"2025-09-17",1.27
"2025-09-22",1.13
"2025-09-27",0.98
"2025-10-02",0.81
"2025-10-07",0.69
"2025-10-12",0.59
"2025-10-17",-0.08
"2025-10-22",-1.06
"2025-10-27",-1.12
"2025-11-01",-1.11
"2025-11-06",-1.2
"2025-11-11",-1.25
"2025-11-16",-1.3
"2025-11-21",-1.33
"2025-11-26",-1.34
"2025-12-01",-1.35
